version,1.3.0
info,team,West Indies
info,team,Bangladesh
info,gender,male
info,season,2014
info,date,2014/08/27
info,venue,"Warner Park, Basseterre"
info,city,St Kitts
info,toss_winner,Bangladesh
info,toss_decision,bat
info,umpire,PJ Nero
info,umpire,JS Wilson
info,reserve_umpire,N Duguid
info,tv_umpire,GO Brathwaite
info,match_referee,JJ Crowe
info,outcome,no result
ball,1,0.1,Bangladesh,Tamim Iqbal,Anamul Haque,K Santokie,0,0,"",""
ball,1,0.2,Bangladesh,Tamim Iqbal,Anamul Haque,K Santokie,2,0,"",""
ball,1,0.3,Bangladesh,Tamim Iqbal,Anamul Haque,K Santokie,1,0,"",""
ball,1,0.4,Bangladesh,Anamul Haque,Tamim Iqbal,K Santokie,2,0,"",""
ball,1,0.5,Bangladesh,Anamul Haque,Tamim Iqbal,K Santokie,0,0,"",""
ball,1,0.6,Bangladesh,Anamul Haque,Tamim Iqbal,K Santokie,1,0,"",""
ball,1,1.1,Bangladesh,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,"",""
ball,1,1.2,Bangladesh,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,"",""
ball,1,1.3,Bangladesh,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,"",""
ball,1,1.4,Bangladesh,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,"",""
ball,1,1.5,Bangladesh,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,"",""
ball,1,1.6,Bangladesh,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,"",""
ball,1,2.1,Bangladesh,Tamim Iqbal,Anamul Haque,K Santokie,4,0,"",""
ball,1,2.2,Bangladesh,Tamim Iqbal,Anamul Haque,K Santokie,1,0,"",""
ball,1,2.3,Bangladesh,Anamul Haque,Tamim Iqbal,K Santokie,0,0,"",""
ball,1,2.4,Bangladesh,Anamul Haque,Tamim Iqbal,K Santokie,4,0,"",""
ball,1,2.5,Bangladesh,Anamul Haque,Tamim Iqbal,K Santokie,2,0,"",""
ball,1,2.6,Bangladesh,Anamul Haque,Tamim Iqbal,K Santokie,1,0,"",""
ball,1,3.1,Bangladesh,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,"",""
ball,1,3.2,Bangladesh,Anamul Haque,Tamim Iqbal,SS Cottrell,0,0,"",""
ball,1,3.3,Bangladesh,Anamul Haque,Tamim Iqbal,SS Cottrell,0,1,"",""
ball,1,3.4,Bangladesh,Anamul Haque,Tamim Iqbal,SS Cottrell,1,0,"",""
ball,1,3.5,Bangladesh,Tamim Iqbal,Anamul Haque,SS Cottrell,1,0,"",""
ball,1,3.6,Bangladesh,Anamul Haque,Tamim Iqbal,SS Cottrell,1,0,"",""
ball,1,3.7,Bangladesh,Tamim Iqbal,Anamul Haque,SS Cottrell,1,0,"",""
ball,1,4.1,Bangladesh,Tamim Iqbal,Anamul Haque,DJ Bravo,1,0,"",""
ball,1,4.2,Bangladesh,Anamul Haque,Tamim Iqbal,DJ Bravo,6,0,"",""
ball,1,4.3,Bangladesh,Anamul Haque,Tamim Iqbal,DJ Bravo,1,0,"",""
ball,1,4.4,Bangladesh,Tamim Iqbal,Anamul Haque,DJ Bravo,0,0,"",""
