File No,Player Name,Innings,Batting Position,Runs,Dots,1s,2s,3s,4s,6s,Balls Played,Wicket Method,Balls Bowled,Runs Given,Extras Given,Wickets Taken
450107.csv,Faisal Hossain,2,,0,0,0,0,0,0,0,0,,36,27,0,1
450107.csv,Mahmudullah,2,,0,0,0,0,0,0,0,0,,19,19,2,0
450107.csv,Mashrafe Mortaza,2,,0,0,0,0,0,0,0,0,,55,27,4,1
450107.csv,Shafiul Islam,2,,0,0,0,0,0,0,0,0,,64,55,4,4
1062498.csv,FA Klokker,1,1,28,22,1,0,1,6,0,30,caught,0,0,0,0
1062498.csv,Aftab Ahmed (2),1,2,26,11,2,2,0,2,2,19,bowled,25,22,1,1
1062498.csv,Zameer Khan,1,3,29,53,19,1,0,2,0,75,caught,0,0,0,0
1062498.csv,HAM Shah,1,4,58,52,38,3,0,2,1,96,caught,0,0,0,0
1062498.csv,MR Pedersen,1,5,13,19,5,2,0,1,0,27,bowled,0,0,0,0
1062498.csv,A Bulow,1,6,0,4,0,0,0,0,0,4,bowled,0,0,0,0
1062498.csv,A Khan,1,7,3,11,3,0,0,0,0,14,lbw,37,22,3,3
1062498.csv,Yasir Iqbal,1,8,44,14,22,3,0,1,2,42,caught,6,10,0,0
1062498.csv,RB Javed,1,9,2,0,0,1,0,0,0,1,,30,7,0,2
1062498.csv,Bashir Shah,1,,0,0,0,0,0,0,0,0,,26,17,1,4
1062498.csv,SA Ahmad,1,,0,0,0,0,0,0,0,0,,6,17,0,0
1062498.csv,Manpreet Singh,2,1,9,13,1,0,0,2,0,16,caught,0,0,0,0
1062498.csv,MMBRSTC Wanigaratne,2,2,0,1,0,0,0,0,0,1,caught,43,25,1,0
1062498.csv,A Bonora,2,3,3,14,1,1,0,0,0,16,bowled,0,0,0,0
1062498.csv,DG Crowley,2,4,1,2,1,0,0,0,0,3,lbw,59,19,0,1
1062498.csv,BBJL Perera,2,5,5,6,1,0,0,1,0,8,lbw,0,0,0,0
1062498.csv,GP Meade,2,6,11,17,5,1,0,1,0,24,bowled,38,58,2,2
1062498.csv,CS Sandri,2,7,59,16,11,0,0,9,2,38,caught,61,29,1,3
1062498.csv,WTN Fernando,2,8,0,8,0,0,0,0,0,8,lbw,13,9,1,0
1062498.csv,R Tanweer,2,9,4,2,0,0,0,1,0,3,bowled,0,0,0,0
1062498.csv,L di Giglio,2,10,0,3,0,0,0,0,0,3,stumped,58,44,6,1
1062498.csv,Charanjeet Singh,2,11,3,8,1,1,0,0,0,10,,36,19,0,1
916647.csv,AC Jayangani,1,1,1,3,1,0,0,0,0,4,bowled,6,12,0,0
916647.csv,PM Weerakkody,1,2,13,21,1,2,0,2,0,26,caught,0,0,0,0
916647.csv,MDN Hansika,1,3,2,2,2,0,0,0,0,4,run out,0,0,0,0
916647.csv,MADD Surangika,1,4,31,51,6,1,1,5,0,64,caught,0,0,0,0
916647.csv,HASD Siriwardene,1,5,0,3,0,0,0,0,0,3,caught,12,9,0,0
916647.csv,PRCS Kumarihami,1,6,35,64,16,0,1,4,0,85,caught,3,8,0,0
916647.csv,SS Weerakkody,1,7,16,22,7,1,1,1,0,32,caught,19,30,1,0
916647.csv,KADA Kanchana,1,8,3,17,3,0,0,0,0,20,caught,7,9,5,0
916647.csv,NND de Silva,1,9,7,14,3,0,0,1,0,18,caught,27,22,3,0
916647.csv,I Ranaweera,1,10,3,20,3,0,0,0,0,23,run out,6,14,0,0
916647.csv,BMSM Kumari,1,11,1,13,1,0,0,0,0,14,,12,17,0,0
916647.csv,SW Bates,2,1,70,23,6,3,0,13,1,46,,60,27,0,3
916647.csv,RH Priest,2,2,51,26,9,0,2,9,0,46,,0,0,0,0
916647.csv,EM Bermingham,2,,0,0,0,0,0,0,0,0,,22,8,4,1
916647.csv,HM Rowe,2,,0,0,0,0,0,0,0,0,,24,19,1,0
916647.csv,LM Kasperek,2,,0,0,0,0,0,0,0,0,,42,9,0,1
916647.csv,LMM Tahuhu,2,,0,0,0,0,0,0,0,0,,61,28,2,2
916647.csv,MJG Nielsen,2,,0,0,0,0,0,0,0,0,,20,8,2,1
916647.csv,SFM Devine,2,,0,0,0,0,0,0,0,0,,64,13,5,2
1144515.csv,MJ Guptill,1,1,5,2,1,0,0,1,0,4,bowled,0,0,0,0
1144515.csv,C Munro,1,2,12,13,2,1,0,2,0,18,caught,7,8,1,0
1144515.csv,KS Williamson,1,3,41,44,18,2,1,4,0,69,caught,49,38,1,1
1144515.csv,LRPL Taylor,1,4,3,7,0,0,1,0,0,8,caught,0,0,0,0
1144515.csv,TWM Latham,1,5,1,13,1,0,0,0,0,14,caught,0,0,0,0
1144515.csv,JDS Neesham,1,6,97,56,40,8,1,5,3,113,,19,19,1,0
1144515.csv,C de Grandhomme,1,7,64,36,26,4,0,6,1,73,run out,12,12,0,0
1144515.csv,MJ Santner,1,8,5,1,3,1,0,0,0,5,,60,38,0,0
1144515.csv,LH Ferguson,1,,0,0,0,0,0,0,0,0,,53,46,4,1
1144515.csv,MJ Henry,1,,0,0,0,0,0,0,0,0,,42,25,0,1
1144515.csv,TA Boult,1,,0,0,0,0,0,0,0,0,,60,48,0,1
1144515.csv,Imam-ul-Haq,2,1,19,21,3,2,0,3,0,29,caught,0,0,0,0
1144515.csv,Fakhar Zaman,2,2,9,7,1,0,0,2,0,10,caught,0,0,0,0
1144515.csv,Babar Azam,2,3,101,74,34,10,1,11,0,130,,0,0,0,0
1144515.csv,Mohammad Hafeez,2,4,32,37,7,1,1,5,0,51,caught,42,22,0,0
1144515.csv,Haris Sohail,2,5,68,39,30,3,0,5,2,79,run out,0,0,0,0
1144515.csv,Sarfraz Ahmed,2,6,5,1,1,0,0,1,0,3,,0,0,0,0
1144515.csv,Imad Wasim,2,,0,0,0,0,0,0,0,0,,18,17,1,0
1144515.csv,Mohammad Amir,2,,0,0,0,0,0,0,0,0,,62,65,5,1
1144515.csv,Shadab Khan,2,,0,0,0,0,0,0,0,0,,60,43,0,1
1144515.csv,Shaheen Shah Afridi,2,,0,0,0,0,0,0,0,0,,60,28,0,3
1144515.csv,Wahab Riaz,2,,0,0,0,0,0,0,0,0,,62,53,3,1
403370.csv,WU Tharanga,1,1,17,35,8,1,1,1,0,46,caught,0,0,0,0
403370.csv,ST Jayasuriya,1,2,15,12,5,1,0,2,0,20,caught,36,14,1,1
403370.csv,KC Sangakkara,1,3,36,19,16,1,2,3,0,41,caught,0,0,0,0
403370.csv,DPMD Jayawardene,1,4,33,28,25,2,0,1,0,56,run out,0,0,0,0
403370.csv,CK Kapugedera,1,5,8,10,8,0,0,0,0,18,caught,0,0,0,0
403370.csv,TT Samaraweera,1,6,10,12,6,0,0,1,0,19,caught,0,0,0,0
403370.csv,AD Mathews,1,7,43,21,21,5,0,3,0,50,caught and bowled,31,21,1,0
403370.csv,KMDN Kulasekara,1,8,16,22,8,2,0,1,0,33,caught,42,30,2,2
403370.csv,M Muralitharan,1,9,32,3,4,3,0,4,1,15,bowled,60,46,0,2
403370.csv,T Thushara,1,10,8,0,2,1,0,1,0,4,,50,27,2,3
403370.csv,SL Malinga,1,11,4,0,2,1,0,0,0,3,,55,47,5,2
403370.csv,Kamran Akmal,2,1,20,18,4,0,0,4,0,26,bowled,0,0,0,0
403370.csv,Shoaib Malik,2,2,9,14,3,1,0,1,0,19,bowled,0,0,0,0
403370.csv,Shahid Afridi,2,3,27,14,8,3,1,1,1,28,caught,60,50,0,1
403370.csv,Mohammad Yousuf,2,4,4,9,0,0,0,1,0,10,caught,0,0,0,0
403370.csv,Younis Khan,2,5,12,15,6,1,0,1,0,23,caught,13,12,2,0
403370.csv,Misbah-ul-Haq,2,6,9,14,9,0,0,0,0,23,caught and bowled,0,0,0,0
403370.csv,Fawad Alam,2,7,31,36,19,2,0,2,0,59,caught,0,0,0,0
403370.csv,Abdul Razzaq,2,8,17,22,11,1,0,1,0,35,lbw,61,32,3,3
403370.csv,Umar Gul,2,9,33,9,6,0,1,6,0,22,bowled,49,45,1,1
403370.csv,Mohammad Amir,2,10,23,16,7,4,0,2,0,29,run out,62,43,4,3
403370.csv,Saeed Ajmal,2,,0,0,0,0,0,0,0,0,,60,40,0,1
433582.csv,ES Szwarczynski,1,1,28,28,8,2,0,4,0,42,bowled,0,0,0,0
433582.csv,W Barresi,1,2,26,41,14,2,0,2,0,59,lbw,0,0,0,0
433582.csv,TLW Cooper,1,3,29,27,15,3,0,2,0,47,caught,12,11,0,0
433582.csv,RN ten Doeschate,1,4,11,20,7,0,0,1,0,28,caught,44,36,2,0
433582.csv,AN Kervezee,1,5,11,15,7,0,0,1,0,23,caught,0,0,0,0
433582.csv,B Zuiderent,1,6,0,6,0,0,0,0,0,6,lbw,0,0,0,0
433582.csv,TN de Grooth,1,7,5,7,3,1,0,0,0,11,run out,0,0,0,0
433582.csv,PW Borren,1,8,38,19,10,2,0,3,2,36,caught,48,33,0,1
433582.csv,BP Kruger,1,9,8,7,4,0,0,1,0,12,run out,21,23,0,0
433582.csv,Mudassar Bukhari,1,10,21,11,5,0,0,1,2,19,bowled,38,31,2,1
433582.csv,PM Seelaar,1,,0,0,0,0,0,0,0,0,,60,53,0,3
433582.csv,V Sehwag,2,1,39,17,5,1,0,5,2,30,caught,0,0,0,0
433582.csv,SR Tendulkar,2,2,27,13,3,0,0,6,0,22,caught,0,0,0,0
433582.csv,YK Pathan,2,3,11,7,1,0,0,1,1,10,caught and bowled,36,17,0,0
433582.csv,G Gambhir,2,4,28,10,14,1,0,3,0,28,bowled,0,0,0,0
433582.csv,V Kohli,2,5,12,15,2,1,0,2,0,20,bowled,0,0,0,0
433582.csv,Yuvraj Singh,2,6,51,45,19,2,0,7,0,73,,54,43,0,3
433582.csv,MS Dhoni,2,7,19,28,9,1,0,2,0,40,,0,0,0,0
433582.csv,A Nehra,2,,0,0,0,0,0,0,0,0,,30,22,0,1
433582.csv,Harbhajan Singh,2,,0,0,0,0,0,0,0,0,,62,29,4,0
433582.csv,PP Chawla,2,,0,0,0,0,0,0,0,0,,61,46,3,3
433582.csv,Z Khan,2,,0,0,0,0,0,0,0,0,,40,20,5,3
643677.csv,V Sibanda,1,1,5,12,1,0,0,1,0,14,caught,0,0,0,0
643677.csv,H Masakadza,1,2,32,32,8,1,2,4,0,47,bowled,0,0,0,0
643677.csv,BRM Taylor,1,3,0,11,0,0,0,0,0,11,caught,0,0,0,0
643677.csv,T Maruma,1,4,4,10,1,0,1,0,0,12,caught,0,0,0,0
643677.csv,SC Williams,1,5,51,39,16,4,1,6,0,66,caught,13,16,2,0
643677.csv,MN Waller,1,6,8,12,4,2,0,0,0,18,caught,24,18,0,1
643677.csv,E Chigumbura,1,7,17,29,5,0,0,3,0,37,lbw,25,10,1,0
643677.csv,CT Mutombodzi,1,8,4,3,0,2,0,0,0,5,caught,31,24,9,0
643677.csv,N M'shangwe,1,9,16,9,2,1,0,0,2,14,bowled,38,24,2,0
643677.csv,KM Jarvis,1,10,12,6,4,0,0,2,0,12,,48,18,1,2
643677.csv,BV Vitori,1,11,4,6,2,1,0,0,0,9,caught,32,39,3,0
643677.csv,CA Pujara,2,1,0,4,0,0,0,0,0,4,bowled,0,0,0,0
643677.csv,AM Rahane,2,2,50,39,19,3,1,4,1,67,bowled,0,0,0,0
643677.csv,S Dhawan,2,3,41,25,5,3,0,6,1,40,caught,0,0,0,0
643677.csv,RA Jadeja,2,4,48,57,14,3,0,4,2,80,,60,42,0,1
643677.csv,KD Karthik,2,5,10,14,4,1,0,1,0,20,,0,0,0,0
643677.csv,A Mishra,2,,0,0,0,0,0,0,0,0,,56,45,3,6
643677.csv,JD Unadkat,2,,0,0,0,0,0,0,0,0,,36,8,0,1
643677.csv,MM Sharma,2,,0,0,0,0,0,0,0,0,,37,24,1,1
643677.csv,Mohammed Shami,2,,0,0,0,0,0,0,0,0,,44,25,6,1
643677.csv,SK Raina,2,,0,0,0,0,0,0,0,0,,12,9,0,0
296916.csv,IR Bell,1,1,73,51,14,3,1,11,1,81,lbw,0,0,0,0
296916.csv,MJ Prior,1,2,33,29,1,3,0,5,1,39,caught,0,0,0,0
296916.csv,OA Shah,1,3,23,24,11,0,0,3,0,38,bowled,0,0,0,0
296916.csv,KP Pietersen,1,4,5,3,3,1,0,0,0,7,lbw,0,0,0,0
296916.csv,A Flintoff,1,5,78,35,30,3,0,9,1,78,,43,32,2,3
296916.csv,PD Collingwood,1,6,14,13,6,2,0,1,0,22,caught,24,14,5,0
296916.csv,SR Patel,1,7,31,15,15,2,0,3,0,35,bowled,58,41,1,5
296916.csv,LJ Wright,1,8,17,4,7,1,0,2,0,14,caught,0,0,0,0
296916.csv,JM Anderson,1,,0,0,0,0,0,0,0,0,,42,17,1,1
296916.csv,SCJ Broad,1,,0,0,0,0,0,0,0,0,,36,28,1,0
296916.csv,SJ Harmison,1,,0,0,0,0,0,0,0,0,,54,28,0,1
296916.csv,HM Amla,2,1,46,36,13,3,1,6,0,59,caught,0,0,0,0
296916.csv,HH Gibbs,2,2,12,10,3,1,1,1,0,16,caught,0,0,0,0
296916.csv,JH Kallis,2,3,9,19,5,0,0,1,0,25,caught,42,42,0,2
296916.csv,AB de Villiers,2,4,12,15,6,1,0,1,0,23,run out,0,0,0,0
296916.csv,JP Duminy,2,5,18,20,10,2,0,1,0,33,caught,0,0,0,0
296916.csv,MV Boucher,2,6,19,13,11,2,0,1,0,27,bowled,0,0,0,0
296916.csv,JA Morkel,2,7,16,11,4,0,0,0,2,17,caught and bowled,35,20,10,1
296916.csv,J Botha,2,8,17,18,13,0,0,1,0,32,bowled,54,35,0,2
296916.csv,M Morkel,2,9,6,4,6,0,0,0,0,10,caught,64,47,5,0
296916.csv,DW Steyn,2,10,5,9,1,2,0,0,0,12,,61,66,3,1
296916.csv,M Ntini,2,11,0,3,0,0,0,0,0,3,caught,58,64,4,1
433566.csv,Tamim Iqbal,1,1,44,24,9,2,1,7,0,43,caught,0,0,0,0
433566.csv,Imrul Kayes,1,2,12,7,4,0,0,2,0,13,stumped,0,0,0,0
433566.csv,Junaid Siddique,1,3,3,6,1,1,0,0,0,8,run out,0,0,0,0
433566.csv,Mushfiqur Rahim,1,4,36,40,20,4,0,2,0,66,caught,0,0,0,0
433566.csv,Shakib Al Hasan,1,5,16,15,4,0,0,3,0,22,caught and bowled,49,27,1,2
433566.csv,Raqibul Hasan,1,6,38,36,30,2,0,1,0,69,run out,0,0,0,0
433566.csv,Mohammad Ashraful,1,7,1,5,1,0,0,0,0,6,caught,55,41,2,2
433566.csv,Naeem Islam,1,8,29,21,13,2,0,3,0,39,caught,53,36,0,1
433566.csv,Shafiul Islam,1,9,2,15,2,0,0,0,0,17,lbw,50,19,6,4
433566.csv,Abdur Razzak,1,10,11,11,4,2,1,0,0,18,bowled,48,30,4,1
433566.csv,Rubel Hossain,1,11,2,0,2,0,0,0,0,2,,18,12,0,0
433566.csv,WTS Porterfield,2,1,20,20,6,3,0,2,0,31,caught,0,0,0,0
433566.csv,PR Stirling,2,2,9,4,5,0,0,1,0,10,stumped,24,13,0,0
433566.csv,EC Joyce,2,3,16,23,10,3,0,0,0,36,caught and bowled,0,0,0,0
433566.csv,NJ O'Brien,2,4,38,27,19,2,1,3,0,52,caught,0,0,0,0
433566.csv,AR White,2,5,10,22,3,0,1,1,0,27,bowled,0,0,0,0
433566.csv,KJ O'Brien,2,6,37,21,13,3,0,3,1,41,caught,12,8,0,0
433566.csv,AC Botha,2,7,22,23,9,1,1,2,0,36,bowled,55,31,1,3
433566.csv,JF Mooney,2,8,0,8,0,0,0,0,0,8,bowled,43,24,3,2
433566.csv,DT Johnston,2,9,6,3,2,0,0,1,0,6,lbw,51,39,1,2
433566.csv,GH Dockrell,2,10,4,9,4,0,0,0,0,13,,60,23,0,2
433566.csv,WB Rankin,2,11,3,10,3,0,0,0,0,13,caught,58,56,6,1
434258.csv,Tamim Iqbal,1,1,40,27,11,3,1,5,0,47,caught,0,0,0,0
434258.csv,Imrul Kayes,1,2,23,24,9,3,0,2,0,38,caught,0,0,0,0
434258.csv,Mohammad Ashraful,1,3,75,45,43,4,0,6,0,98,run out,7,10,1,0
434258.csv,Raqibul Hasan,1,4,0,6,0,0,0,0,0,6,caught,0,0,0,0
434258.csv,Shakib Al Hasan,1,5,1,7,1,0,0,0,0,8,caught,61,42,2,0
434258.csv,Mushfiqur Rahim,1,6,35,31,18,1,1,3,0,54,lbw,0,0,0,0
434258.csv,Mahmudullah,1,7,45,21,21,3,0,3,1,49,lbw,36,32,0,1
434258.csv,Naeem Islam,1,8,22,2,2,2,0,1,2,9,,38,36,3,0
434258.csv,Abdur Razzak,1,9,1,1,1,0,0,0,0,2,,62,35,2,0
434258.csv,Rubel Hossain,1,,0,0,0,0,0,0,0,0,,45,44,11,1
434258.csv,Shafiul Islam,1,,0,0,0,0,0,0,0,0,,31,38,5,1
434258.csv,WU Tharanga,2,1,14,11,2,0,0,3,0,16,caught,0,0,0,0
434258.csv,TM Dilshan,2,2,104,62,48,4,0,12,0,126,caught,19,11,5,1
434258.csv,KC Sangakkara,2,3,74,37,23,4,1,10,0,75,caught,0,0,0,0
434258.csv,TT Samaraweera,2,4,41,31,19,1,0,5,0,56,,0,0,0,0
434258.csv,LPC Silva,2,5,4,3,4,0,0,0,0,7,,0,0,0,0
434258.csv,KMDN Kulasekara,2,,0,0,0,0,0,0,0,0,,61,45,3,2
434258.csv,M Pushpakumara,2,,0,0,0,0,0,0,0,0,,31,20,1,0
434258.csv,RAS Lakmal,2,,0,0,0,0,0,0,0,0,,59,58,5,2
434258.csv,S Randiv,2,,0,0,0,0,0,0,0,0,,62,49,3,2
434258.csv,SHT Kandamby,2,,0,0,0,0,0,0,0,0,,30,21,0,0
434258.csv,UWMBCA Welegedara,2,,0,0,0,0,0,0,0,0,,49,38,1,0
433569.csv,DS Smith,1,1,53,29,13,2,0,9,0,53,caught,0,0,0,0
433569.csv,CH Gayle,1,2,80,67,36,2,0,7,2,114,caught,0,0,0,0
433569.csv,DM Bravo,1,3,30,22,14,0,0,1,2,39,caught,0,0,0,0
433569.csv,RR Sarwan,1,4,49,23,13,1,0,7,1,45,lbw,0,0,0,0
433569.csv,KA Pollard,1,5,60,4,12,2,0,5,4,27,caught,6,2,0,0
433569.csv,DJG Sammy,1,6,6,3,2,0,0,1,0,6,caught,42,33,1,1
433569.csv,S Chanderpaul,1,7,4,2,4,0,0,0,0,6,bowled,0,0,0,0
433569.csv,DC Thomas,1,8,13,4,9,0,0,1,0,14,lbw,0,0,0,0
433569.csv,NO Miller,1,9,11,2,3,0,0,2,0,7,,42,23,0,0
433569.csv,SJ Benn,1,10,3,0,0,0,1,0,0,1,,48,28,1,3
433569.csv,KAJ Roach,1,,0,0,0,0,0,0,0,0,,51,27,0,6
433569.csv,AN Kervezee,2,1,14,13,4,1,0,2,0,20,stumped,0,0,0,0
433569.csv,W Barresi,2,2,0,5,0,0,0,0,0,5,caught,0,0,0,0
433569.csv,TLW Cooper,2,3,55,44,19,0,0,9,0,72,,37,36,1,0
433569.csv,RN ten Doeschate,2,4,7,2,3,0,0,1,0,6,lbw,65,70,8,1
433569.csv,B Zuiderent,2,5,1,3,1,0,0,0,0,4,bowled,0,0,0,0
433569.csv,TN de Grooth,2,6,1,4,1,0,0,0,0,5,lbw,0,0,0,0
433569.csv,PW Borren,2,7,10,21,6,0,0,1,0,28,caught,0,0,0,0
433569.csv,Mudassar Bukhari,2,8,24,25,14,1,0,2,0,42,bowled,61,63,3,2
433569.csv,PM Seelaar,2,9,1,4,1,0,0,0,0,5,lbw,60,45,3,3
433569.csv,BP Loots,2,10,0,1,0,0,0,0,0,1,lbw,43,43,2,1
433569.csv,BA Westdijk,2,11,0,1,0,0,0,0,0,1,bowled,46,52,4,1
439147.csv,HM Amla,1,1,102,43,48,11,0,8,0,110,bowled,0,0,0,0
439147.csv,GC Smith,1,2,18,10,4,0,0,2,1,17,caught,0,0,0,0
439147.csv,JH Kallis,1,3,1,6,1,0,0,0,0,7,caught,19,17,1,0
439147.csv,AB de Villiers,1,4,102,39,47,10,1,5,2,104,caught,0,0,0,0
439147.csv,JP Duminy,1,5,15,18,9,0,0,0,1,28,bowled,0,0,0,0
439147.csv,DA Miller,1,6,23,4,9,2,0,1,1,17,,0,0,0,0
439147.csv,J Botha,1,7,3,5,1,1,0,0,0,7,bowled,61,46,1,2
439147.csv,R McLaren,1,8,1,2,1,0,0,0,0,3,caught,54,37,0,2
439147.csv,DW Steyn,1,9,2,1,2,0,0,0,0,3,,50,35,2,2
439147.csv,LL Tsotsobe,1,,0,0,0,0,0,0,0,0,,38,33,2,1
439147.csv,M Morkel,1,,0,0,0,0,0,0,0,0,,50,38,3,3
439147.csv,ADS Fletcher,2,1,3,10,1,1,0,0,0,12,caught,0,0,0,0
439147.csv,CH Gayle,2,2,45,22,7,3,0,8,0,40,caught,30,27,0,0
439147.csv,DJ Bravo,2,3,15,4,3,0,0,3,0,10,caught,61,39,2,3
439147.csv,RR Sarwan,2,4,38,31,22,6,0,1,0,60,bowled,0,0,0,0
439147.csv,N Deonarine,2,5,26,32,14,1,0,1,1,49,caught,6,13,0,0
439147.csv,D Ramdin,2,6,17,18,9,0,0,2,0,29,bowled,0,0,0,0
439147.csv,KA Pollard,2,7,44,20,9,3,1,5,1,39,caught,20,17,2,0
439147.csv,DJG Sammy,2,8,2,5,2,0,0,0,0,7,caught,13,24,1,0
439147.csv,NO Miller,2,9,13,10,3,2,0,0,1,16,,43,42,4,0
439147.csv,JE Taylor,2,10,0,2,0,0,0,0,0,2,lbw,62,60,3,2
439147.csv,R Rampaul,2,11,3,5,3,0,0,0,0,8,caught,61,45,1,2
249214.csv,V Sehwag,1,1,11,18,1,1,0,2,0,22,caught,0,0,0,0
249214.csv,SR Tendulkar,1,2,55,72,17,3,0,8,0,100,caught,0,0,0,0
249214.csv,VVS Laxman,1,3,0,1,0,0,0,0,0,1,caught,0,0,0,0
249214.csv,D Mongia,1,4,41,61,23,3,0,3,0,90,bowled,0,0,0,0
249214.csv,MS Dhoni,1,5,44,21,24,0,0,2,2,49,caught,0,0,0,0
249214.csv,KD Karthik,1,6,11,10,3,0,0,2,0,15,caught,0,0,0,0
249214.csv,IK Pathan,1,7,7,4,4,0,1,0,0,9,bowled,36,48,0,0
249214.csv,Harbhajan Singh,1,8,1,4,1,0,0,0,0,5,caught,51,36,6,1
249214.csv,Z Khan,1,9,16,3,4,1,0,1,1,10,,43,45,2,0
249214.csv,A Kumble,1,10,1,2,1,0,0,0,0,3,bowled,43,32,1,0
249214.csv,S Sreesanth,1,,0,0,0,0,0,0,0,0,,25,26,5,0
249214.csv,AB de Villiers,2,1,92,52,31,2,1,12,1,99,,0,0,0,0
249214.csv,GC Smith,2,2,79,51,23,5,0,7,3,89,caught,0,0,0,0
249214.csv,SM Pollock,2,3,16,3,4,0,0,3,0,10,,60,17,0,2
249214.csv,A Nel,2,,0,0,0,0,0,0,0,0,,60,34,4,1
249214.csv,JH Kallis,2,,0,0,0,0,0,0,0,0,,61,55,1,1
249214.csv,JM Kemp,2,,0,0,0,0,0,0,0,0,,31,22,2,2
249214.csv,M Ntini,2,,0,0,0,0,0,0,0,0,,62,26,6,3
249214.csv,RJ Peterson,2,,0,0,0,0,0,0,0,0,,30,33,0,0
749539.csv,Zameer Khan,1,1,16,6,6,1,0,2,0,15,lbw,0,0,0,0
749539.csv,FA Klokker,1,2,61,34,16,3,1,9,0,63,run out,0,0,0,0
749539.csv,Rizwan Mahmood,1,3,13,30,5,1,0,0,1,37,caught,0,0,0,0
749539.csv,HAM Shah,1,4,23,32,10,3,1,1,0,47,stumped,43,36,1,0
749539.csv,Zishan Shah,1,5,29,24,15,1,0,3,0,43,bowled,0,0,0,0
749539.csv,Kamran Mahmood,1,6,49,16,19,2,0,5,1,43,caught,19,30,1,0
749539.csv,A Khan,1,7,1,4,1,0,0,0,0,5,lbw,47,18,7,4
749539.csv,Yasir Iqbal,1,8,54,20,15,6,1,6,0,48,caught,48,29,0,4
749539.csv,Aftab Ahmed (2),1,9,5,2,3,1,0,0,0,6,,31,12,1,0
749539.csv,A Bulow,1,10,1,0,1,0,0,0,0,1,,25,25,1,0
749539.csv,Bashir Shah,1,,0,0,0,0,0,0,0,0,,44,35,2,2
749539.csv,AD de Lange,2,1,6,2,2,0,0,1,0,5,lbw,0,0,0,0
749539.csv,CR Kumarage,2,2,72,60,28,3,0,5,3,99,bowled,0,0,0,0
749539.csv,CR Suryawanshi,2,3,57,30,17,2,0,6,2,57,lbw,55,55,1,2
749539.csv,R Gaznavi,2,4,0,1,0,0,0,0,0,1,lbw,0,0,0,0
749539.csv,KB Shinde,2,5,3,5,3,0,0,0,0,8,run out,0,0,0,0
749539.csv,A Goenka,2,6,0,1,0,0,0,0,0,1,bowled,36,37,0,0
749539.csv,C Janik,2,7,4,8,2,1,0,0,0,11,caught,18,13,0,1
749539.csv,Saad Janjua,2,8,0,2,0,0,0,0,0,2,bowled,19,22,1,0
749539.csv,M Dharmichand,2,9,1,15,1,0,0,0,0,16,caught,61,35,3,1
749539.csv,Abhiraj Singh,2,10,8,29,6,1,0,0,0,36,,61,50,1,2
749539.csv,Amjad Mahboob,2,11,34,12,2,1,0,3,3,21,caught,58,40,10,2
237571.csv,Kamran Akmal,1,1,25,22,8,1,1,3,0,35,caught,0,0,0,0
237571.csv,Imran Farhat,1,2,24,27,8,2,0,3,0,40,caught and bowled,0,0,0,0
237571.csv,Shoaib Malik,1,3,12,13,0,2,0,2,0,17,caught,19,21,1,0
237571.csv,Mohammad Yousuf,1,4,67,44,31,6,0,6,0,87,caught,0,0,0,0
237571.csv,Inzamam-ul-Haq,1,5,21,15,3,0,0,3,1,22,lbw,0,0,0,0
237571.csv,Younis Khan,1,6,74,30,38,6,0,3,2,79,,0,0,0,0
237571.csv,Abdul Razzaq,1,7,24,5,4,3,0,2,1,15,caught,48,49,0,0
237571.csv,Yasir Arafat,1,8,10,3,8,1,0,0,0,12,bowled,50,49,7,0
237571.csv,Mohammad Sami,1,9,2,2,0,1,0,0,0,3,caught,56,62,4,1
237571.csv,Iftikhar Anjum,1,10,6,0,1,1,1,0,0,3,,60,44,0,1
237571.csv,Mohammad Asif,1,,0,0,0,0,0,0,0,0,,55,47,3,0
237571.csv,G Gambhir,2,1,38,34,8,3,0,6,0,51,caught,0,0,0,0
237571.csv,R Dravid,2,2,50,51,24,1,0,6,0,82,caught,0,0,0,0
237571.csv,Yuvraj Singh,2,3,107,43,36,5,0,14,0,99,,0,0,0,0
237571.csv,MS Dhoni,2,4,77,20,23,3,0,6,4,56,,0,0,0,0
237571.csv,AB Agarkar,2,,0,0,0,0,0,0,0,0,,64,55,5,1
237571.csv,RP Singh,2,,0,0,0,0,0,0,0,0,,61,49,2,1
237571.csv,RR Powar,2,,0,0,0,0,0,0,0,0,,60,49,0,1
237571.csv,S Sreesanth,2,,0,0,0,0,0,0,0,0,,65,52,6,4
237571.csv,Z Khan,2,,0,0,0,0,0,0,0,0,,63,60,8,1
464723.csv,PR Stirling,1,1,35,29,14,0,1,3,1,48,bowled,0,0,0,0
464723.csv,AC Botha,1,2,20,11,4,0,0,4,0,19,bowled,24,35,0,0
464723.csv,AD Poynter,1,3,10,9,1,0,1,0,1,12,stumped,0,0,0,0
464723.csv,KJ O'Brien,1,4,3,5,3,0,0,0,0,8,bowled,44,36,4,2
464723.csv,AR White,1,5,15,11,9,1,0,1,0,22,caught,6,5,0,0
464723.csv,JF Mooney,1,6,47,23,25,3,1,2,0,55,caught,0,0,0,0
464723.csv,DT Johnston,1,7,13,4,9,0,0,1,0,14,caught,44,19,4,2
464723.csv,RD McCann,1,8,17,9,9,2,0,1,0,21,caught,0,0,0,0
