File No,Player Name,Innings,Batting Position,Runs,Dots,1s,2s,3s,4s,6s,Balls Played,Wicket Method,Balls Bowled,Runs Given,Extras Given,Wickets Taken
387568.csv,R McLaren,1,7,0,5,0,0,0,0,0,5,caught,36,25,0,1
387568.csv,J Botha,1,8,1,7,1,0,0,0,0,8,caught,48,22,0,2
387568.csv,WD Parnell,1,9,1,14,1,0,0,0,0,15,caught,38,28,2,0
387568.csv,M Morkel,1,10,7,11,3,0,0,1,0,15,lbw,38,19,1,0
387568.csv,CK Langeveldt,1,11,0,5,0,0,0,0,0,5,,31,23,1,0
387568.csv,IJL Trott,2,1,52,50,20,2,0,7,0,79,,0,0,0,0
387568.csv,AJ Strauss,2,2,32,48,4,2,0,6,0,60,lbw,0,0,0,0
387568.csv,KP Pietersen,2,3,3,3,3,0,0,0,0,6,caught,0,0,0,0
387568.csv,PD Collingwood,2,4,2,4,2,0,0,0,0,6,caught,24,20,0,2
387568.csv,EJG Morgan,2,5,28,29,4,2,0,5,0,40,,0,0,0,0
387568.csv,JM Anderson,2,,0,0,0,0,0,0,0,0,,63,20,3,5
387568.csv,LJ Wright,2,,0,0,0,0,0,0,0,0,,30,31,0,0
387568.csv,SCJ Broad,2,,0,0,0,0,0,0,0,0,,61,28,2,2
387568.csv,TT Bresnan,2,,0,0,0,0,0,0,0,0,,48,15,0,1
656457.csv,WTS Porterfield,1,1,29,43,12,5,1,1,0,62,caught,0,0,0,0
656457.csv,PR Stirling,1,2,10,8,0,1,0,2,0,11,caught,13,25,1,0
656457.csv,EC Joyce,1,3,112,42,46,6,0,9,3,106,caught,0,0,0,0
656457.csv,A Balbirnie,1,4,97,32,33,6,0,7,4,82,run out,0,0,0,0
656457.csv,KJ O'Brien,1,5,24,12,6,1,0,4,0,23,caught,60,90,4,2
656457.csv,GC Wilson,1,6,25,3,5,1,0,3,1,13,caught,0,0,0,0
656457.csv,JF Mooney,1,7,10,1,0,1,0,2,0,4,bowled,61,57,2,2
656457.csv,NJ O'Brien,1,8,2,2,2,0,0,0,0,4,caught,0,0,0,0
656457.csv,GH Dockrell,1,9,5,0,1,2,0,0,0,3,,60,56,0,1
656457.csv,AR Cusack,1,10,2,1,2,0,0,0,0,3,,58,31,4,4
656457.csv,AR McBrine,1,,0,0,0,0,0,0,0,0,,48,56,0,1
656457.csv,CJ Chibhabha,2,1,18,27,2,2,0,3,0,34,caught,0,0,0,0
656457.csv,Sikandar Raza,2,2,12,14,2,1,0,2,0,19,caught,54,51,1,0
656457.csv,SF Mire,2,3,11,14,5,1,0,1,0,21,caught,0,0,0,0
656457.csv,H Masakadza,2,4,5,5,0,1,1,0,0,7,caught,18,18,1,0
656457.csv,BRM Taylor,2,5,121,35,31,8,2,11,4,91,caught,0,0,0,0
656457.csv,SC Williams,2,6,96,27,38,9,0,7,2,83,caught,57,69,3,3
656457.csv,CR Ervine,2,7,11,8,7,0,0,1,0,16,caught,0,0,0,0
656457.csv,RW Chakabva,2,8,17,4,9,2,0,1,0,16,bowled,0,0,0,0
656457.csv,T Panyangara,2,9,5,2,1,2,0,0,0,5,caught,56,67,2,1
656457.csv,T Mupariwa,2,10,18,2,0,2,0,2,1,7,caught,61,55,1,1
656457.csv,TL Chatara,2,11,1,0,1,0,0,0,0,1,,65,56,7,3
745161.csv,WU Tharanga,1,1,27,21,7,0,0,5,0,33,caught,0,0,0,0
745161.csv,TM Dilshan,1,2,13,6,1,0,0,3,0,10,caught,30,25,0,1
745161.csv,KC Sangakkara,1,3,11,12,3,0,0,2,0,17,caught,0,0,0,0
745161.csv,DPMD Jayawardene,1,4,67,34,31,2,0,8,0,75,bowled,0,0,0,0
745161.csv,AD Mathews,1,5,93,57,43,6,2,8,0,116,caught,13,14,1,0
745161.csv,S Prasanna,1,6,1,5,1,0,0,0,0,6,lbw,60,36,0,2
745161.csv,SMA Priyanjan,1,7,3,4,3,0,0,0,0,7,lbw,18,17,0,0
745161.csv,NLTC Perera,1,8,65,10,17,2,0,5,4,38,run out,18,19,0,3
745161.csv,KMDN Kulasekara,1,9,5,1,5,0,0,0,0,6,,24,23,4,0
745161.csv,SL Malinga,1,10,0,1,0,0,0,0,0,1,bowled,42,55,1,2
745161.csv,HMRKB Herath,1,,0,0,0,0,0,0,0,0,,60,38,0,2
745161.csv,Ahmed Shehzad,2,1,56,47,22,5,0,6,0,80,caught,12,15,0,0
745161.csv,Sharjeel Khan,2,2,9,6,1,2,0,1,0,10,caught,0,0,0,0
745161.csv,Mohammad Hafeez,2,3,62,23,14,2,0,11,0,50,lbw,60,39,0,3
745161.csv,Umar Akmal,2,4,1,2,1,0,0,0,0,3,caught,0,0,0,0
745161.csv,Misbah-ul-Haq,2,5,36,27,18,3,0,3,0,51,caught,0,0,0,0
745161.csv,Fawad Alam,2,6,30,23,12,3,0,3,0,41,caught,0,0,0,0
745161.csv,Sohaib Maqsood,2,7,9,2,3,0,0,0,1,6,lbw,0,0,0,0
745161.csv,Shahid Afridi,2,8,17,3,3,1,0,3,0,10,caught,61,46,5,0
745161.csv,Wahab Riaz,2,9,5,2,3,1,0,0,0,6,caught,62,63,11,5
745161.csv,Mohammad Irfan,2,10,1,4,1,0,0,0,0,5,,62,63,2,0
745161.csv,Junaid Khan,2,11,1,2,1,0,0,0,0,3,bowled,52,59,7,1
518968.csv,DA Warner,1,1,163,68,56,17,3,13,2,159,bowled,0,0,0,0
518968.csv,MS Wade,1,2,64,42,16,7,4,4,1,74,caught,0,0,0,0
518968.csv,SR Watson,1,3,21,10,11,3,0,1,0,25,caught,56,33,1,3
518968.csv,DT Christian,1,4,10,4,2,0,0,2,0,8,caught,24,33,1,0
518968.csv,DJ Hussey,1,5,1,2,1,0,0,0,0,3,caught and bowled,49,42,1,4
518968.csv,MJ Clarke,1,6,37,9,7,5,0,5,0,26,caught,0,0,0,0
518968.csv,MEK Hussey,1,7,19,3,3,2,0,0,2,10,,0,0,0,0
518968.csv,B Lee,1,,0,0,0,0,0,0,0,0,,59,53,7,3
518968.csv,BW Hilfenhaus,1,,0,0,0,0,0,0,0,0,,25,45,2,0
518968.csv,JL Pattinson,1,,0,0,0,0,0,0,0,0,,32,47,2,0
518968.csv,XJ Doherty,1,,0,0,0,0,0,0,0,0,,62,36,3,0
518968.csv,DPMD Jayawardene,2,1,14,8,4,1,0,2,0,15,caught,0,0,0,0
518968.csv,TM Dilshan,2,2,27,12,7,0,0,5,0,24,bowled,54,35,0,0
518968.csv,KC Sangakkara,2,3,42,28,14,3,2,4,0,51,caught,0,0,0,0
518968.csv,LD Chandimal,2,4,14,16,10,0,0,1,0,27,caught,0,0,0,0
518968.csv,HDRL Thirimanne,2,5,14,18,10,2,0,0,0,30,caught,0,0,0,0
518968.csv,WU Tharanga,2,6,60,29,27,9,1,3,0,69,caught,0,0,0,0
518968.csv,MF Maharoof,2,7,8,7,6,1,0,0,0,14,caught,54,64,0,1
518968.csv,KMDN Kulasekara,2,8,73,14,13,7,0,7,3,44,caught,61,59,1,1
518968.csv,KTGD Prasad,2,9,31,3,14,0,1,2,1,21,,42,51,0,2
518968.csv,HMRKB Herath,2,10,5,2,3,1,0,0,0,6,caught,43,35,1,1
518968.csv,SL Malinga,2,11,1,5,1,0,0,0,0,6,caught,51,71,4,1
1080631.csv,Rohan Mustafa,1,1,17,21,1,2,0,3,0,27,lbw,48,32,0,0
1080631.csv,Mohammad Naveed,1,2,4,6,0,0,0,1,0,7,bowled,42,32,2,0
1080631.csv,Ghulam Shabber,1,3,1,3,1,0,0,0,0,4,caught and bowled,0,0,0,0
1080631.csv,Shaiman Anwar,1,4,48,33,26,1,0,5,0,65,lbw,0,0,0,0
1080631.csv,Rameez Shahzad,1,5,41,58,21,5,0,1,1,86,bowled,0,0,0,0
1080631.csv,Muhammad Usman,1,6,29,29,13,1,0,2,1,46,bowled,0,0,0,0
1080631.csv,Adnan Mufti,1,7,15,15,8,0,1,1,0,25,caught,0,0,0,0
1080631.csv,Ahmed Raza,1,8,1,8,1,0,0,0,0,9,caught,54,34,6,0
1080631.csv,Amjad Javed,1,9,1,4,1,0,0,0,0,5,bowled,30,18,0,0
1080631.csv,Imran Haider,1,10,6,10,4,1,0,0,0,15,,42,43,0,1
1080631.csv,Zahoor Khan,1,11,16,5,2,0,0,2,1,10,caught,37,34,2,1
1080631.csv,WTS Porterfield,2,1,76,47,35,3,1,8,0,94,bowled,0,0,0,0
1080631.csv,PR Stirling,2,2,41,41,19,2,0,3,1,66,caught,0,0,0,0
1080631.csv,A Balbirnie,2,3,58,37,19,4,1,7,0,68,,0,0,0,0
1080631.csv,NJ O'Brien,2,4,18,11,12,1,0,1,0,25,,0,0,0,0
