File No,Team 1,Team 1 Runs,Team 1 Wickets,Team 2,Team 2 Runs,Team 2 Wickets,Gender,Season,Date,Series,Competition,Match Number,Venue,City,Neutral Venue,Toss Winner,Toss Decision,Player of Match,Umpire 1,Umpire 2,Reserve Umpire,TV Umpire,Match Referee,Winner,Outcome,Winner Runs,Winner Wickets,Method
343734.csv,Sri Lanka,237,9,India,204,10,male,2008,2008/08/24,India in Sri Lanka ODI Series,,3,R Premadasa Stadium,Colombo,,India,bat,MS Dhoni,BR Doctrove,TH Wijewardene,WA Senanayake,MG Silva,BC Broad,India,,33,,
238178.csv,New Zealand,324,6,West Indies,233,8,male,2005/06,2006/03/01,West Indies in New Zealand ODI Series,,4,McLean Park,Napier,,West Indies,field,L Vincent,BF Bowden,RE Koertzen,,EA Watkin,MJ Procter,New Zealand,,91,,
858489.csv,Bangladesh,250,10,Pakistan,251,2,male,2015,2015/04/22,Pakistan in Bangladesh ODI Series,,3,Shere Bangla National Stadium,Mirpur,,Pakistan,bat,Soumya Sarkar,RSA Palliyaguruge,Sharfuddoula,Anisur Rahman,NJ Llong,JJ Crowe,Bangladesh,,,8,
1073411.csv,India,250,2,Ireland,125,10,female,2016/17,2017/02/10,,ICC Women's World Cup Qualifier,11,P Sara Oval,Colombo,true,India,bat,MDT Kamini,IN Ramage,S Redfern,RR Wimalasiri,,,India,,125,,
812781.csv,Namibia,188,9,Uganda,189,6,male,2014/15,2015/01/18,,ICC World Cricket League Division Two,,Wanderers Cricket Ground,Windhoek,,Uganda,bat,MG Erasmus,BB Pradhan,RT Robinson,D Odhiambo,,D Govindjee,Namibia,,,4,
742619.csv,New Zealand,246,7,Pakistan,250,7,male,2014/15,2014/12/08,Pakistan v New Zealand ODI Series,,1,Dubai International Cricket Stadium,,true,Pakistan,field,Haris Sohail,Aleem Dar,JS Wilson,Ahsan Raza,RK Illingworth,RS Mahanama,Pakistan,,,3,
635657.csv,Sri Lanka,307,4,South Africa,179,10,male,2013,2013/07/31,South Africa in Sri Lanka ODI Series,,5,R Premadasa Stadium,Colombo,,Sri Lanka,bat,TM Dilshan,RA Kettleborough,RR Wimalasiri,RSA Palliyaguruge,REJ Martinesz,AJ Pycroft,Sri Lanka,,128,,
750675.csv,Sri Lanka,302,6,England,215,10,male,2014/15,2014/12/16,England in Sri Lanka ODI Series,,7,R Premadasa Stadium,Colombo,,Sri Lanka,bat,TM Dilshan,REJ Martinesz,RJ Tucker,RR Wimalasiri,BNJ Oxenford,DC Boon,Sri Lanka,,87,,
251494.csv,New Zealand,148,10,Australia,149,0,male,2006/07,2007/02/16,Chappell-Hadlee Trophy,,1,Westpac Stadium,Wellington,,New Zealand,field,SE Bond,Aleem Dar,BF Bowden,EA Watkin,GAV Baxter,MJ Procter,New Zealand,,,10,
730087.csv,Sri Lanka,339,5,South Africa,257,10,male,2014,2014/07/12,South Africa in Sri Lanka ODI Series,,3,"""Mahinda Rajapaksa International Cricket Stadium",Hambantota,,South Africa,bat,AB de Villiers,SJ Davis,REJ Martinesz,RSA Palliyaguruge,NJ Llong,JJ Crowe,South Africa,,82,,
567358.csv,South Africa,208,10,New Zealand,209,9,male,2012/13,2013/01/19,New Zealand in South Africa ODI Series,,1,Boland Park,Paarl,,New Zealand,field,JEC Franklin,Enamul Haque,S George,JD Cloete,Aleem Dar,DC Boon,New Zealand,,,1,
1031427.csv,England,330,6,South Africa,328,5,male,2017,2017/05/27,South Africa in England ODI Series,,2,The Rose Bowl,Southampton,,South Africa,field,BA Stokes,RJ Bailey,CB Gaffaney,RT Robinson,RJ Tucker,AJ Pycroft,England,,2,,
236595.csv,Australia,368,5,Sri Lanka,201,10,male,2005/06,2006/02/12,VB Series,,2,Sydney Cricket Ground,,,Australia,bat,A Symonds,MR Benson,PD Parker,,DJ Harper,JJ Crowe,Australia,,167,,
1030219.csv,India,190,10,New Zealand,194,4,male,2016/17,2016/10/16,New Zealand in India ODI Series,,1,Himachal Pradesh Cricket Association Stadium,Dharmasala,,India,field,HH Pandya,BNJ Oxenford,C Shamshuddin,CK Nandan,AK Chaudhary,RB Richardson,India,,,6,
657639.csv,Pakistan,284,4,Sri Lanka,287,8,male,2013/14,2013/12/20,Pakistan v Sri Lanka ODI Series,,2,Dubai International Cricket Stadium,,true,Sri Lanka,field,AD Mathews,Ahsan Raza,RK Illingworth,Shozab Raza,JD Cloete,DC Boon,Sri Lanka,,,2,
291371.csv,Australia,239,8,India,242,4,male,2007/08,2008/03/02,,Commonwealth Bank Series,1,Sydney Cricket Ground,,,Australia,bat,SR Tendulkar,DJ Harper,RE Koertzen,GA Abood,BNJ Oxenford,JJ Crowe,India,,,6,
754811.csv,Australia,256,10,West Indies,203,8,female,2014/15,2014/11/13,West Indies Women in Australia ODI Series,"""ICC Women's Championship",14,Hurstville Oval,Sydney,,Australia,bat,EA Perry,PJ Gillespie,AK Wilds,,AR Hamilton,DJ Harper,Australia,,53,,
565815.csv,India,257,7,England,258,5,male,2012/13,2013/01/23,England in India ODI Series,,4,"""Punjab Cricket Association Stadium",Chandigarh,,India,field,SK Raina,S Asnani,SJ Davis,AK Chaudhary,C Shamshuddin,AJ Pycroft,India,,,5,
1020039.csv,New Zealand,149,10,South Africa,150,4,male,2016/17,2017/03/04,South Africa in New Zealand ODI Series,,5,Eden Park,Auckland,,South Africa,field,K Rabada,CM Brown,JS Wilson,WR Knights,PR Reiffel,J Srinath,South Africa,,,6,
1062505.csv,Bermuda,221,7,Denmark,183,10,male,2016/17,2016/11/01,,ICC World Cricket League Division Four,,"""Wong Cricket Field",Los Angeles,true,Denmark,field,JA DeSilva,L Oala,CM Tuckett,A Kapa,,D Govindjee,Bermuda,,38,,
403381.csv,Sri Lanka,307,6,India,168,10,male,2009,2009/09/12,,Compaq Cup,3,R Premadasa Stadium,Colombo,,Sri Lanka,bat,AD Mathews,HDPK Dharmasena,BR Doctrove,REJ Martinesz,MG Silva,BC Broad,Sri Lanka,,139,,
256610.csv,Australia,272,6,West Indies,273,7,male,2006/07,2006/09/18,,DLF Cup,4,Kinrara Academy Oval,Kuala Lumpur,true,Australia,bat,MEK Hussey,Asad Rauf,AL Hill,Sarika Prasad,MR Benson,BC Broad,West Indies,,,3,
300486.csv,Zimbabwe,206,10,South Africa,210,5,male,2007,2007/08/22,South Africa in Zimbabwe ODI Series,,1,Queens Sports Club,Bulawayo,,Zimbabwe,bat,GB Brent,SJ Davis,RB Tiffin,,ID Robinson,J Srinath,South Africa,,,5,
385749.csv,Pakistan,219,10,Sri Lanka,220,2,male,2008/09,2009/01/20,Sri Lanka in Pakistan ODI Series,,1,National Stadium,Karachi,,Sri Lanka,bat,Salman Butt,NJ Llong,Nadeem Ghauri,Saleem Badar,Ahsan Raza,BC Broad,Pakistan,,,8,
325580.csv,Ireland,152,9,Scotland,129,3,male,2008,2008/07/31,European Championship Division One,,13,Clontarf Cricket Club Ground,Dublin,,Ireland,field,,PK Baldwin,BF Bowden,IN Ramage,,BC Broad,Ireland,,,7,D/L
696747.csv,Canada,210,10,Netherlands,212,2,male,2013/14,2014/01/28,,ICC Cricket World Cup Qualifier,,Bay Oval,Mount Maunganui,true,Canada,bat,MJG Rippon,RSA Palliyaguruge,RT Robinson,JM Dempsey,,D Govindjee,Netherlands,,,8,
1144495.csv,Afghanistan,172,10,New Zealand,173,3,male,2019,2019/06/08,,World Cup,13,The Cooper Associates County Ground,Taunton,,New Zealand,field,JDS Neesham,MA Gough,Aleem Dar,RK Illingworth,RA Kettleborough,RS Madugalle,New Zealand,,,7,
523805.csv,Ireland,249,7,Canada,193,10,male,2011,2011/09/20,,"""ICC World Cricket League Championship",12,Clontarf Cricket Club Ground,Dublin,,Ireland,bat,,NG Bagh,M Hawthorne,AA Baig,,DT Jukes,Ireland,,56,,
1062514.csv,United States of America,208,10,Oman,195,9,male,2016/17,2016/11/05,,ICC World Cricket League Division Four,,"""Severn Cricket Field",Los Angeles,,United States of America,bat,Jasdeep Singh,Akbar Ali,CM Tuckett,GO Brathwaite,,D Govindjee,United States of America,,13,,
1031429.csv,England,153,10,South Africa,156,3,male,2017,2017/05/29,South Africa in England ODI Series,,3,Lord's,London,,South Africa,field,K Rabada,MA Gough,RJ Tucker,RJ Bailey,CB Gaffaney,AJ Pycroft,South Africa,,,7,
1089141.csv,Botswana,154,10,Tanzania,128,10,male,2017,2017/04/08,,ICC World Cricket League Africa Region Qualifiers,6,Willowmoore Park C Field,Benoni,true,Tanzania,field,KN Mussa,R D'Mello,C Thorburn,PM Musoke,,D Govindjee,Botswana,,26,,
434263.csv,Bangladesh,247,6,India,249,4,male,2009/10,2010/01/11,,Tri-Nation Tournament in Bangladesh,6,Shere Bangla National Stadium,Mirpur,,India,field,V Kohli,Sharfuddoula,SJA Taufel,,Enamul Haque,AJ Pycroft,India,,,6,
456664.csv,Sri Lanka,192,10,New Zealand,195,7,male,2010,2010/08/13,,Sri Lanka Triangular Series,2,Rangiri Dambulla International Stadium,,,New Zealand,bat,WU Tharanga,HDPK Dharmasena,SJA Taufel,RMPJ Rambukwella,TH Wijewardene,AG Hurst,Sri Lanka,,,3,
924627.csv,Zimbabwe,122,10,Afghanistan,126,2,male,2015/16,2015/10/16,Afghanistan in Zimbabwe ODI Series,,1,Queens Sports Club,Bulawayo,,Afghanistan,bat,WP Masakadza,NJ Llong,RB Tiffin,L Rusere,,D Govindjee,Zimbabwe,,,8,
426384.csv,Ireland,231,9,Australia,192,10,male,2010,2010/06/17,,,,Clontarf Cricket Club Ground,Dublin,,Australia,bat,JR Hopes,RA Kettleborough,NJ Llong,L Fourie,,BC Broad,Australia,,39,,
415275.csv,South Africa,214,10,New Zealand,217,5,male,2009/10,2009/09/24,,ICC Champions Trophy,3,SuperSport Park,Centurion,,South Africa,field,WD Parnell,Aleem Dar,Asad Rauf,IJ Gould,DJ Harper,RS Mahanama,South Africa,,,5,
450379.csv,Canada,154,9,Ireland,155,5,male,2010,2010/07/07,,ICC World Cricket League Division One,10,VRA Ground,Amstelveen,true,Canada,bat,KJ O'Brien,NA Malcolm,IN Ramage,B Hartong,,DT Jukes,Ireland,,,5,
514039.csv,South Africa,312,4,Sri Lanka,314,8,male,2011/12,2012/01/22,Sri Lanka in South Africa ODI Series,,5,New Wanderers Stadium,Johannesburg,,Sri Lanka,field,KC Sangakkara,M Erasmus,NJ Llong,JD Cloete,BR Doctrove,JJ Crowe,Sri Lanka,,,2,
1030227.csv,India,269,6,New Zealand,79,10,male,2016/17,2016/10/29,New Zealand in India ODI Series,,5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,,India,bat,A Mishra,CK Nandan,BNJ Oxenford,Nitin Menon,C Shamshuddin,RB Richardson,India,,190,,
578615.csv,Pakistan,170,10,West Indies,172,8,male,2013,2013/06/07,,ICC Champions Trophy,2,Kennington Oval,London,true,West Indies,field,KAJ Roach,SJ Davis,NJ Llong,RA Kettleborough,AL Hill,BC Broad,West Indies,,,2,
1144523.csv,England,305,8,New Zealand,186,10,male,2019,2019/07/03,,World Cup,41,Riverside Ground,Chester-le-Street,,England,bat,JM Bairstow,RJ Tucker,S Ravi,BNJ Oxenford,PR Reiffel,DC Boon,England,,119,,
566925.csv,England,287,6,New Zealand,253,10,male,2013,2013/06/05,NatWest Series,,3,Trent Bridge,Nottingham,,New Zealand,field,JC Buttler,Aleem Dar,RT Robinson,MA Gough,SJ Davis,DC Boon,England,,34,,
474468.csv,England,309,5,Sri Lanka,240,10,male,2011,2011/07/01,NatWest Series,,2,Headingley,Leeds,,England,field,DPMD Jayawardene,BF Bowden,RA Kettleborough,RJ Bailey,NJ Llong,AG Hurst,Sri Lanka,,69,,
936131.csv,South Africa,354,5,Ireland,148,10,male,2016/17,2016/09/25,,,,Willowmoore Park,Benoni,,Ireland,field,T Bavuma,S George,JS Wilson,BP Jele,NJ Llong,BC Broad,South Africa,,206,,
247479.csv,England,177,10,Kenya,178,3,male,2006/07,2007/03/24,,ICC World Cup,23,"""Beausejour Stadium",St Lucia,true,Kenya,bat,EC Joyce,RE Koertzen,PD Parker,Asad Rauf,BR Doctrove,MJ Procter,England,,,7,
335348.csv,Bangladesh,357,9,Sri Lanka,226,7,male,2008,2008/06/25,,Asia Cup,3,Gaddafi Stadium,Lahore,true,Bangladesh,field,KC Sangakkara,IJ Gould,SJA Taufel,Ahsan Raza,Zameer Haider,MJ Procter,Sri Lanka,,131,,
423785.csv,New Zealand,241,9,Bangladesh,244,7,male,2009/10,2010/02/11,Bangladesh in New Zealand ODI Series,,3,AMI Stadium,Christchurch,,New Zealand,field,MJ Guptill,GAV Baxter,RA Kettleborough,CB Gaffaney,EA Watkin,AG Hurst,New Zealand,,,3,
406202.csv,Australia,274,10,Pakistan,275,5,male,2009/10,2010/01/22,Pakistan in Australia ODI Series,,1,"""Brisbane Cricket Ground",Brisbane,,Pakistan,bat,CL White,EAR de Silva,RJ Tucker,NS McNamara,PR Reiffel,RS Madugalle,Australia,,,5,
426421.csv,Bangladesh,260,6,England,261,8,male,2009/10,2010/03/02,England in Bangladesh ODI Series,,2,Shere Bangla National Stadium,Mirpur,,England,field,EJG Morgan,Nadir Shah,RJ Tucker,Anisur Rahman,Sharfuddoula,JJ Crowe,England,,,2,
1168016.csv,England,318,9,West Indies,110,10,female,2019,2019/06/06,,ICC Women's Championship,,Grace Road,Leicester,,England,bat,AE Jones,GD Lloyd,AG Wharf,S Redfern,DJ Millns,Phil Whitticase,England,,208,,
656443.csv,Pakistan,235,7,Zimbabwe,215,10,male,2014/15,2015/03/01,,ICC Cricket World Cup,23,"""Brisbane Cricket Ground",Brisbane,true,Pakistan,bat,Wahab Riaz,RA Kettleborough,JS Wilson,RSA Palliyaguruge,PR Reiffel,JJ Crowe,Pakistan,,20,,
530431.csv,Pakistan,218,9,Sri Lanka,219,7,male,2011/12,2011/11/23,Pakistan v Sri Lanka ODI Series,,5,Sheikh Zayed Stadium,Abu Dhabi,true,Sri Lanka,bat,Umar Akmal,Ahsan Raza,M Erasmus,Zameer Haider,RK Illingworth,AJ Pycroft,Pakistan,,,3,
848847.csv,South Africa,283,7,New Zealand,221,10,male,2015,2015/08/26,New Zealand in South Africa ODI Series,,3,Kingsmead,Durban,,South Africa,bat,AB de Villiers,JD Cloete,IJ Gould,AT Holdstock,S George,RS Mahanama,South Africa,,62,,
1144512.csv,Pakistan,308,7,South Africa,259,9,male,2019,2019/06/23,,World Cup,30,Lord's,London,,Pakistan,bat,Haris Sohail,JS Wilson,HDPK Dharmasena,S Ravi,CB Gaffaney,RS Madugalle,Pakistan,,49,,
534210.csv,England,238,9,West Indies,239,2,male,2012,2012/06/19,NatWest Series,,2,Kennington Oval,London,,England,field,AN Cook,RJ Bailey,AL Hill,RK Illingworth,HDPK Dharmasena,JJ Crowe,England,,,8,
667729.csv,England,294,7,India,253,10,male,2014,2014/09/05,India in England ODI Series,,5,Headingley,Leeds,,India,field,JE Root,RA Kettleborough,PR Reiffel,RJ Bailey,MA Gough,RS Madugalle,England,,41,,
564781.csv,Sri Lanka,314,6,India,293,9,male,2012,2012/07/21,India in Sri Lanka ODI Series,,1,"""Mahinda Rajapaksa International Cricket Stadium",Hambantota,,India,bat,V Kohli,REJ Martinesz,BNJ Oxenford,SSK Gallage,RSA Palliyaguruge,BC Broad,India,,21,,
296908.csv,England,266,5,New Zealand,215,10,male,2008,2008/06/28,NatWest Series,,5,Lord's,London,,England,field,SB Styris,SJ Davis,NJ Llong,RK Illingworth,RA Kettleborough,J Srinath,New Zealand,,51,,
1051301.csv,Bangladesh,279,8,Afghanistan,138,10,male,2016/17,2016/10/01,Afghanistan in Bangladesh ODI Series,,3,Shere Bangla National Stadium,Mirpur,,Bangladesh,bat,Tamim Iqbal,C Shamshuddin,Sharfuddoula,Mahfuzur Rahman,Masudur Rahman,RB Richardson,Bangladesh,,141,,
433604.csv,Sri Lanka,217,10,New Zealand,220,5,male,2010/11,2011/03/29,,ICC Cricket World Cup,,R Premadasa Stadium,Colombo,,New Zealand,bat,KC Sangakkara,Aleem Dar,SJ Davis,BR Doctrove,M Erasmus,BC Broad,Sri Lanka,,,5,
913447.csv,Suriname,140,10,Vanuatu,141,6,male,2015,2015/09/11,,ICC World Cricket League Division Six,,Hare Field,Coggeshall,true,Suriname,field,MC Patandin,HE Kearns,BB Pradhan,S Ketipe,,GF Labrooy,Suriname,,,4,
